epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9448,1.56839,1.67027,1.19713,0.47473,0.48877,0.51242,0.28966,1.28956,1.00521,1.12084,0.000471882,0.000471882,0.000471882
2,31.3084,1.27994,0.93274,1.02422,0.56524,0.52271,0.55125,0.34249,1.13826,0.91545,1.04964,0.000932569,0.000932569,0.000932569
3,44.1684,1.24107,0.86111,1.00049,0.73218,0.54845,0.61303,0.3777,1.15312,0.8184,1.02454,0.00137754,0.00137754,0.00137754
4,58.2361,1.24016,0.84126,1.02101,0.78074,0.63505,0.71078,0.44963,1.07288,0.7417,0.99254,0.00135826,0.00135826,0.00135826
5,70.5719,1.24928,0.81068,0.99404,0.80594,0.67613,0.75485,0.47788,1.0792,0.70623,0.99739,0.00133469,0.00133469,0.00133469
6,84.1225,1.15617,0.7712,0.9944,0.74112,0.67752,0.73084,0.45834,1.06099,0.66609,0.99131,0.00131111,0.00131111,0.00131111
7,97.4422,1.18699,0.7775,0.99585,0.76756,0.72337,0.76877,0.50086,1.03417,0.6586,0.97906,0.00128753,0.00128753,0.00128753
8,109.557,1.16454,0.73541,0.9718,0.79819,0.68481,0.75859,0.49708,1.03295,0.61347,0.98645,0.00126395,0.00126395,0.00126395
9,123.209,1.15225,0.73556,0.97726,0.83005,0.69098,0.77108,0.48966,1.04061,0.69439,0.98264,0.00124037,0.00124037,0.00124037
10,135.322,1.13525,0.74118,0.98002,0.89113,0.69864,0.80473,0.52018,1.03741,0.60854,0.96472,0.00121679,0.00121679,0.00121679
11,148.457,1.14225,0.6868,0.97194,0.84835,0.70743,0.79214,0.51564,1.04271,0.62629,0.9681,0.00119322,0.00119322,0.00119322
12,161.894,1.12078,0.68947,0.9615,0.84855,0.70983,0.8024,0.53182,0.99014,0.57892,0.95548,0.00116964,0.00116964,0.00116964
13,173.973,1.09612,0.67364,0.96376,0.84187,0.71299,0.8041,0.52984,1.00805,0.57507,0.95993,0.00114606,0.00114606,0.00114606
14,186.537,1.10944,0.65034,0.9517,0.87453,0.73534,0.82094,0.55004,0.99654,0.55131,0.96028,0.00112248,0.00112248,0.00112248
15,197.886,1.09321,0.64716,0.95941,0.87482,0.70035,0.81652,0.54785,0.98121,0.55729,0.95689,0.0010989,0.0010989,0.0010989
16,210.448,1.06751,0.63524,0.94609,0.89115,0.74788,0.84186,0.56054,0.95367,0.52278,0.93498,0.00107532,0.00107532,0.00107532
17,222.856,1.08017,0.63164,0.95218,0.86112,0.77664,0.84362,0.57282,0.96512,0.52276,0.95161,0.00105174,0.00105174,0.00105174
18,236.015,1.06311,0.62455,0.94787,0.89001,0.78047,0.86179,0.585,0.94971,0.50924,0.94179,0.00102817,0.00102817,0.00102817
19,248.815,1.07207,0.62623,0.94524,0.85472,0.78593,0.85229,0.5724,0.97875,0.52435,0.93926,0.00100459,0.00100459,0.00100459
20,262.173,1.05071,0.60466,0.93594,0.87817,0.78353,0.85208,0.58632,0.92,0.51131,0.9292,0.000981008,0.000981008,0.000981008
21,275.503,1.03699,0.59536,0.93835,0.93024,0.76976,0.8771,0.59405,0.92305,0.48757,0.92076,0.00095743,0.00095743,0.00095743
22,288.105,1.05036,0.60368,0.93505,0.93437,0.78733,0.88168,0.60681,0.91049,0.47991,0.9223,0.000933851,0.000933851,0.000933851
23,301.657,1.03411,0.59231,0.93109,0.90472,0.81545,0.88787,0.61546,0.90298,0.4707,0.91747,0.000910273,0.000910273,0.000910273
24,314.752,1.02112,0.57092,0.92926,0.90844,0.78825,0.85525,0.57456,0.95266,0.48888,0.93046,0.000886694,0.000886694,0.000886694
25,327.285,1.0319,0.58133,0.93855,0.90213,0.81062,0.88399,0.6137,0.88455,0.4598,0.9117,0.000863116,0.000863116,0.000863116
26,340.845,1.0046,0.56104,0.92838,0.89138,0.82908,0.88718,0.61498,0.88245,0.46066,0.9132,0.000839537,0.000839537,0.000839537
27,353.18,1.02289,0.57411,0.92926,0.93536,0.8121,0.88708,0.61442,0.88421,0.45958,0.90921,0.000815959,0.000815959,0.000815959
28,366.046,0.99526,0.55103,0.92277,0.90979,0.83437,0.89899,0.62855,0.91842,0.45966,0.92556,0.00079238,0.00079238,0.00079238
29,379.239,1.01201,0.55708,0.92776,0.94837,0.80922,0.90094,0.63917,0.86526,0.43402,0.90686,0.000768802,0.000768802,0.000768802
30,392.292,1.00185,0.54852,0.92759,0.92227,0.82885,0.89407,0.61866,0.85871,0.44492,0.90706,0.000745223,0.000745223,0.000745223
31,406.291,0.99934,0.5425,0.9153,0.9339,0.84267,0.90463,0.64221,0.84392,0.43177,0.89819,0.000721645,0.000721645,0.000721645
32,418.347,1.0068,0.54971,0.92383,0.9366,0.82686,0.90224,0.63867,0.84579,0.43504,0.89923,0.000698066,0.000698066,0.000698066
33,431.43,0.97868,0.53911,0.92885,0.94602,0.82966,0.91265,0.64148,0.87148,0.43292,0.9066,0.000674488,0.000674488,0.000674488
34,443.808,0.9816,0.52788,0.91839,0.94615,0.84621,0.91026,0.64847,0.86966,0.42163,0.90601,0.000650909,0.000650909,0.000650909
35,456.974,0.98507,0.5313,0.91523,0.94014,0.83687,0.91338,0.658,0.83029,0.41713,0.89279,0.000627331,0.000627331,0.000627331
36,470.69,0.95721,0.51847,0.91589,0.93263,0.82852,0.90344,0.64838,0.83556,0.42673,0.8962,0.000603752,0.000603752,0.000603752
37,482.742,0.95536,0.51154,0.90193,0.92124,0.8582,0.91793,0.66027,0.82086,0.40597,0.88878,0.000580174,0.000580174,0.000580174
38,495.674,0.94971,0.50407,0.91259,0.93339,0.8337,0.91116,0.65329,0.82056,0.40649,0.88739,0.000556595,0.000556595,0.000556595
39,507.369,0.95556,0.50949,0.90958,0.92043,0.86229,0.92302,0.66847,0.80739,0.39715,0.88341,0.000533017,0.000533017,0.000533017
40,520.168,0.95009,0.50597,0.90833,0.95475,0.86156,0.92319,0.66928,0.81758,0.3994,0.88908,0.000509438,0.000509438,0.000509438
41,532.833,0.95144,0.49888,0.89976,0.93745,0.8551,0.91974,0.66045,0.8089,0.4006,0.88444,0.00048586,0.00048586,0.00048586
42,544.379,0.94477,0.49148,0.9061,0.9099,0.86542,0.9237,0.67404,0.80408,0.38929,0.88403,0.000462281,0.000462281,0.000462281
43,557.775,0.93856,0.48786,0.90887,0.95915,0.84637,0.92738,0.67131,0.79519,0.39098,0.88139,0.000438703,0.000438703,0.000438703
44,569.286,0.92384,0.48672,0.9014,0.95192,0.85063,0.92372,0.67398,0.79431,0.38637,0.87978,0.000415124,0.000415124,0.000415124
45,581.669,0.92446,0.47649,0.902,0.94986,0.87234,0.92839,0.67695,0.78436,0.38108,0.87556,0.000391546,0.000391546,0.000391546
46,594.059,0.93398,0.48135,0.89842,0.96117,0.85728,0.92984,0.67733,0.79523,0.37649,0.87695,0.000367967,0.000367967,0.000367967
47,605.32,0.91987,0.47439,0.90098,0.94976,0.87899,0.93291,0.68211,0.78295,0.37499,0.87484,0.000344389,0.000344389,0.000344389
48,618.272,0.89503,0.46037,0.8935,0.95964,0.86468,0.93122,0.67563,0.773,0.36763,0.87081,0.00032081,0.00032081,0.00032081
49,630.642,0.90305,0.46565,0.89144,0.95793,0.86906,0.93657,0.69091,0.761,0.3599,0.86556,0.000297232,0.000297232,0.000297232
50,644.263,0.89168,0.4538,0.89404,0.94531,0.86328,0.9288,0.68933,0.75637,0.36266,0.86724,0.000273654,0.000273654,0.000273654
51,657.761,0.89239,0.43204,0.88813,0.96997,0.85851,0.9296,0.67906,0.7799,0.37103,0.8724,0.000250075,0.000250075,0.000250075
52,671.475,0.8911,0.4336,0.88834,0.97042,0.85136,0.93514,0.68793,0.77189,0.36769,0.87047,0.000226497,0.000226497,0.000226497
53,684.988,0.88477,0.42188,0.88732,0.95483,0.86369,0.92791,0.67941,0.76072,0.36309,0.86386,0.000202918,0.000202918,0.000202918
54,697.589,0.86837,0.41315,0.8832,0.96384,0.85644,0.93261,0.69312,0.74095,0.3561,0.86133,0.00017934,0.00017934,0.00017934
55,710.357,0.862,0.41294,0.87598,0.9742,0.85793,0.93561,0.69157,0.74706,0.35479,0.86139,0.000155761,0.000155761,0.000155761
56,721.316,0.8495,0.40904,0.8799,0.96552,0.86527,0.93549,0.69519,0.74427,0.35214,0.85886,0.000132183,0.000132183,0.000132183
57,733.583,0.8523,0.40065,0.87614,0.9522,0.86469,0.93563,0.69559,0.74121,0.35242,0.85933,0.000108604,0.000108604,0.000108604
58,746.073,0.83217,0.40287,0.87333,0.96243,0.87156,0.94075,0.70074,0.72488,0.34436,0.85543,8.50255e-05,8.50255e-05,8.50255e-05
59,759.267,0.84482,0.39716,0.86694,0.94562,0.87752,0.93944,0.69905,0.72985,0.34409,0.8576,6.1447e-05,6.1447e-05,6.1447e-05
60,771.802,0.82526,0.39007,0.86563,0.95343,0.87471,0.94044,0.70463,0.71716,0.33768,0.85407,3.78685e-05,3.78685e-05,3.78685e-05
